onet_soc_code,stem_category_id,stem_category_name,parent_category_name
17-2112.01,1,"Research, Development, Design, and Practitioners",
17-2112.01,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2112.02,1,"Research, Development, Design, and Practitioners",
17-2112.02,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2112.03,1,"Research, Development, Design, and Practitioners",
17-2112.03,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2121.00,1,"Research, Development, Design, and Practitioners",
17-2121.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2131.00,1,"Research, Development, Design, and Practitioners",
17-2131.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2141.00,1,"Research, Development, Design, and Practitioners",
17-2141.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2141.01,1,"Research, Development, Design, and Practitioners",
17-2141.01,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2141.02,1,"Research, Development, Design, and Practitioners",
17-2141.02,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2151.00,1,"Research, Development, Design, and Practitioners",
17-2151.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2161.00,1,"Research, Development, Design, and Practitioners",
17-2161.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2171.00,1,"Research, Development, Design, and Practitioners",
17-2171.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.00,1,"Research, Development, Design, and Practitioners",
17-2199.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.03,1,"Research, Development, Design, and Practitioners",
17-2199.03,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.05,1,"Research, Development, Design, and Practitioners",
17-2199.05,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.06,1,"Research, Development, Design, and Practitioners",
17-2199.06,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.07,1,"Research, Development, Design, and Practitioners",
17-2199.07,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.08,1,"Research, Development, Design, and Practitioners",
17-2199.08,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.09,1,"Research, Development, Design, and Practitioners",
17-2199.09,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.10,1,"Research, Development, Design, and Practitioners",
17-2199.10,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2199.11,1,"Research, Development, Design, and Practitioners",
17-2199.11,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-3011.00,2,Technologists and Technicians,
17-3011.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3012.00,2,Technologists and Technicians,
17-3012.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3013.00,2,Technologists and Technicians,
17-3013.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3019.00,2,Technologists and Technicians,
17-3019.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3021.00,2,Technologists and Technicians,
17-3021.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3022.00,2,Technologists and Technicians,
17-3022.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3023.00,2,Technologists and Technicians,
17-3023.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3024.00,2,Technologists and Technicians,
17-3024.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3024.01,2,Technologists and Technicians,
17-3024.01,2-1,Architecture and Engineering,Technologists and Technicians
17-3025.00,2,Technologists and Technicians,
17-3025.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3026.00,2,Technologists and Technicians,
17-3026.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3026.01,2,Technologists and Technicians,
