onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
29-1129.01,Art Therapists,extreme,25,18,4,3,2,0.72,1,22640.0,1
19-1023.00,Zoologists and Wildlife Biologists,extreme,14,10,1,3,1,0.714,1,18120.0,0
19-4099.03,Remote Sensing Technicians,extreme,21,15,1,5,1,0.714,1,73910.0,1
17-2072.01,Radio Frequency Identification Device Specialists,extreme,21,15,1,5,0,0.714,1,96900.0,1
17-2141.00,Mechanical Engineers,extreme,28,20,5,3,1,0.714,1,296810.0,0
29-1229.02,Hospitalists,extreme,14,10,4,0,0,0.714,1,342720.0,1
29-1031.00,Dietitians and Nutritionists,extreme,28,20,7,1,0,0.714,1,77570.0,1
29-1217.00,Neurologists,extreme,24,17,5,2,0,0.708,1,10590.0,1
19-2011.00,Astronomers,extreme,17,12,4,1,1,0.706,1,2120.0,0
29-1171.00,Nurse Practitioners,extreme,27,19,6,2,0,0.704,1,323040.0,1
29-1229.06,Sports Medicine Physicians,extreme,27,19,6,2,2,0.704,1,342720.0,1
19-1031.03,Park Naturalists,extreme,20,14,1,5,0,0.7,1,25950.0,0
29-1129.02,Music Therapists,extreme,30,21,5,4,0,0.7,1,22640.0,1
29-1141.04,Clinical Nurse Specialists,extreme,30,21,9,0,1,0.7,1,3379720.0,1
17-2171.00,Petroleum Engineers,extreme,23,16,4,3,1,0.696,1,18060.0,0
19-4099.01,Quality Control Analysts,extreme,26,18,2,6,0,0.692,1,73910.0,1
29-2051.00,Dietetic Technicians,extreme,13,9,4,0,0,0.692,1,31560.0,1
29-1229.01,Allergists and Immunologists,extreme,16,11,4,1,0,0.688,1,342720.0,1
17-2199.10,Wind Energy Engineers,extreme,16,11,5,0,4,0.688,1,154070.0,0
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,extreme,28,19,3,6,0,0.679,1,95130.0,0
17-2121.00,Marine Engineers and Naval Architects,extreme,30,20,5,5,1,0.667,1,8250.0,0
29-1123.00,Physical Therapists,extreme,24,16,5,3,0,0.667,1,267330.0,1
29-1215.00,Family Medicine Physicians,extreme,12,8,4,0,0,0.667,1,107510.0,1
29-1071.00,Physician Assistants,extreme,12,8,1,3,1,0.667,1,162150.0,1
29-1161.00,Nurse Midwives,extreme,21,14,0,7,2,0.667,1,7920.0,1
29-9091.00,Athletic Trainers,extreme,23,15,0,8,1,0.652,1,30500.0,1
29-1122.00,Occupational Therapists,extreme,17,11,3,3,1,0.647,1,162450.0,1
19-1029.02,Molecular and Cellular Biologists,extreme,22,14,6,2,0,0.636,1,55850.0,0
29-1181.00,Audiologists,extreme,22,14,5,3,0,0.636,1,13660.0,1
17-3026.00,Industrial Engineering Technologists and Technicians,extreme,30,19,8,3,0,0.633,1,75570.0,0
29-1224.00,Radiologists,extreme,30,19,8,3,0,0.633,1,26770.0,1
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",extreme,27,17,6,4,0,0.63,1,21450.0,0
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",extreme,21,13,7,1,0,0.619,1,162450.0,1
29-1011.00,Chiropractors,extreme,13,8,2,3,0,0.615,1,39630.0,1
19-1031.02,Range Managers,extreme,18,11,5,2,0,0.611,1,25950.0,0
