onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",5,27,55.5,68.9,57.8,44.9,0.074,0.0,0.519,Contested
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",4,27,55.4,63.2,52.3,39.8,0.111,0.037,0.296,Human-anchored
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,3,28,55.1,50.8,40.6,14.6,0.179,0.071,0.036,Insulated
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners",4,18,55.1,61.3,51.2,39.2,0.056,0.0,0.111,Human-anchored
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",5,12,55.1,67.4,57.2,44.8,0.083,0.0,0.5,Contested
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,18,54.8,56.5,46.9,33.8,0.167,0.0,0.0,Human-anchored
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",5,30,54.8,65.1,55.5,38.7,0.1,0.033,0.6,Human-anchored
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners",4,16,54.6,58.6,49.3,29.9,0.188,0.0,0.188,Human-anchored
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",5,30,54.4,67.4,58.5,50.6,0.1,0.0,0.5,Contested
19-4021.00,Biological Technicians,Technologists and Technicians,4,18,54.3,47.5,38.9,6.9,0.056,0.222,0.0,Insulated
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",5,27,54.3,66.9,58.3,46.9,0.185,0.074,0.667,Contested
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,4,29,53.9,47.7,40.0,9.0,0.069,0.138,0.103,Insulated
19-2031.00,Chemists,"Research, Development, Design, and Practitioners",4,12,53.8,54.6,47.0,24.8,0.0,0.0,0.167,Human-anchored
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",4,30,53.8,64.1,56.4,42.7,0.167,0.0,0.633,Human-anchored
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",5,24,53.8,67.2,59.6,45.8,0.083,0.0,0.625,Contested
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners",5,14,53.7,62.9,55.4,43.1,0.071,0.0,0.643,Human-anchored
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",5,19,53.6,61.2,54.1,32.6,0.105,0.0,0.421,Human-anchored
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",5,24,53.5,64.0,56.9,38.9,0.125,0.042,0.708,Human-anchored
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,3,11,53.4,47.5,40.6,9.6,0.182,0.091,0.0,Insulated
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",4,11,53.3,66.7,60.1,45.6,0.0,0.0,0.727,Contested
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,,16,53.2,45.5,39.2,-0.4,0.125,0.062,0.062,Insulated
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,4,25,53.1,52.9,46.6,21.7,0.12,0.04,0.16,Human-anchored
29-2036.00,Medical Dosimetrists,Technologists and Technicians,4,19,52.9,56.5,50.7,23.2,0.158,0.053,0.263,Human-anchored
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners",4,14,52.7,52.3,47.0,20.9,0.071,0.071,0.071,Human-anchored
19-1032.00,Foresters,"Research, Development, Design, and Practitioners",4,25,52.7,57.8,52.4,35.2,0.12,0.0,0.0,Human-anchored
19-4031.00,Chemical Technicians,Technologists and Technicians,3,16,52.7,50.9,45.4,20.6,0.125,0.062,0.125,Human-anchored
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",5,23,52.5,64.1,59.1,44.1,0.087,0.043,0.609,Human-anchored
