soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
17-2131,Materials Engineers,1,17-2131.00,22770.0,120250.0,112860.0,59.8,0.0,61.4,41.9,28.7,Human-anchored,2738092500,"Research, Development, Design, and Practitioners"
29-1129,"Therapists, All Other",2,29-1129.01;29-1129.02,22640.0,90420.0,77930.0,53.2,1.6,59.7,53.1,38.6,Human-anchored,2047108800,"Research, Development, Design, and Practitioners"
19-2099,"Physical Scientists, All Other",1,19-2099.01,22300.0,129230.0,122570.0,63.4,0.0,63.0,36.2,27.1,Displaceable,2881829000,"Research, Development, Design, and Practitioners"
29-9093,Surgical Assistants,1,29-9093.00,22270.0,72710.0,66800.0,30.5,0.0,23.5,62.5,5.3,Human-anchored,1619251700,"Research, Development, Design, and Practitioners"
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2,17-2111.02;17-2111.00,21450.0,119770.0,115160.0,59.3,6.6,64.9,46.4,37.2,Contested,2569066500,"Research, Development, Design, and Practitioners"
29-1218,Obstetricians and Gynecologists,1,29-1218.00,21260.0,279040.0,292910.0,48.6,0.0,57.2,60.1,38.3,Human-anchored,5932390400,"Research, Development, Design, and Practitioners"
17-2041,Chemical Engineers,1,17-2041.00,21070.0,129980.0,125040.0,60.3,0.0,64.2,43.5,33.9,Contested,2738678600,"Research, Development, Design, and Practitioners"
19-2012,Physicists,1,19-2012.00,20430.0,171180.0,172250.0,66.0,0.0,69.9,38.0,38.6,Displaceable,3497207400,"Research, Development, Design, and Practitioners"
25-1052,"Chemistry Teachers, Postsecondary",1,25-1052.00,19980.0,105210.0,93250.0,64.7,0.0,67.6,38.2,34.3,Displaceable,2102095800,Postsecondary Teaching
17-1012,Landscape Architects,1,17-1012.00,19600.0,88780.0,79870.0,63.1,0.0,65.4,39.1,33.1,Displaceable,1740088000,"Research, Development, Design, and Practitioners"
19-4092,Forensic Science Technicians,1,19-4092.00,19120.0,79200.0,72060.0,46.9,0.0,45.5,51.7,18.4,Human-anchored,1514304000,Technologists and Technicians
19-1022,Microbiologists,1,19-1022.00,18940.0,97600.0,87990.0,53.2,0.0,50.5,44.0,16.9,Human-anchored,1848544000,"Research, Development, Design, and Practitioners"
19-3039,"Psychologists, All Other",2,19-3039.02;19-3039.03,18820.0,111210.0,110840.0,52.4,1.8,60.0,55.2,41.0,Human-anchored,2092972200,"Research, Development, Design, and Practitioners"
19-1023,Zoologists and Wildlife Biologists,1,19-1023.00,18120.0,83020.0,76780.0,60.9,0.0,63.0,41.1,30.0,Contested,1504322400,"Research, Development, Design, and Practitioners"
17-2171,Petroleum Engineers,1,17-2171.00,18060.0,157150.0,144910.0,57.9,0.0,57.8,42.1,24.8,Human-anchored,2838129000,"Research, Development, Design, and Practitioners"
17-3012,Electrical and Electronics Drafters,1,17-3012.00,17920.0,81280.0,76870.0,63.6,0.0,61.9,34.7,25.2,Insulated,1456537600,Technologists and Technicians
